display_key,combined_key,file_name,country,province,latitude,longitude,population
New Zealand,", New Zealand",New Zealand,New Zealand,,-40.9006,174.886,4822233.0
"New Zealand, Cook Islands","Cook Islands, New Zealand",Cook Islands,New Zealand,Cook Islands,-21.2367,-159.7777,0.0
Nicaragua,", Nicaragua",Nicaragua,Nicaragua,,12.865416,-85.207229,6624554.0
Niger,", Niger",Niger,Niger,,17.607789,8.081666,24206644.0
Nigeria,", Nigeria",Nigeria,Nigeria,,9.082,8.6753,206139589.0
North Macedonia,", North Macedonia",North Macedonia,North Macedonia,,41.6086,21.7453,2083374.0
Norway,", Norway",Norway,Norway,,60.472,8.4689,5421241.0
Oman,", Oman",Oman,Oman,,21.512583,55.923255,5106626.0
Pakistan,", Pakistan",Pakistan,Pakistan,,30.3753,69.3451,220892340.0
Palau,", Palau",Palau,Palau,,7.515,134.5825,18094.0
Panama,", Panama",Panama,Panama,,8.538,-80.7821,4314767.0
Papua New Guinea,", Papua New Guinea",Papua New Guinea,Papua New Guinea,,-6.314993,143.95555,8947024.0
Paraguay,", Paraguay",Paraguay,Paraguay,,-23.4425,-58.4438,7132538.0
Peru,", Peru",Peru,Peru,,-9.19,-75.0152,32971854.0
Philippines,", Philippines",Philippines,Philippines,,12.879721,121.774017,109581078.0
Poland,", Poland",Poland,Poland,,51.9194,19.1451,37846611.0
Portugal,", Portugal",Portugal,Portugal,,39.3999,-8.2245,10196709.0
Qatar,", Qatar",Qatar,Qatar,,25.3548,51.1839,2881053.0
Romania,", Romania",Romania,Romania,,45.9432,24.9668,19237691.0
Russia,", Russia",Russia,Russia,,61.52401,105.318756,145934462.0
Rwanda,", Rwanda",Rwanda,Rwanda,,-1.9403,29.8739,12952218.0
Saint Kitts and Nevis,", Saint Kitts and Nevis",Saint Kitts and Nevis,Saint Kitts and Nevis,,17.357822,-62.782998,53199.0
Saint Lucia,", Saint Lucia",Saint Lucia,Saint Lucia,,13.9094,-60.9789,183627.0
Saint Vincent and the Grenadines,", Saint Vincent and the Grenadines",Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,,12.9843,-61.2872,110940.0
Samoa,", Samoa",Samoa,Samoa,,-13.759,-172.1046,198414.0
San Marino,", San Marino",San Marino,San Marino,,43.9424,12.4578,33931.0
Sao Tome and Principe,", Sao Tome and Principe",Sao Tome and Principe,Sao Tome and Principe,,0.1864,6.6131,219159.0
Saudi Arabia,", Saudi Arabia",Saudi Arabia,Saudi Arabia,,23.885942,45.079162,34813871.0
Senegal,", Senegal",Senegal,Senegal,,14.4974,-14.4524,16743927.0
Serbia,", Serbia",Serbia,Serbia,,44.0165,21.0059,8737371.0
Seychelles,", Seychelles",Seychelles,Seychelles,,-4.6796,55.492,98347.0
Sierra Leone,", Sierra Leone",Sierra Leone,Sierra Leone,,8.460555,-11.779889,7976983.0
Singapore,", Singapore",Singapore,Singapore,,1.2833,103.8333,5850342.0
Slovakia,", Slovakia",Slovakia,Slovakia,,48.669,19.699,5459642.0
Slovenia,", Slovenia",Slovenia,Slovenia,,46.1512,14.9955,2078938.0
Solomon Islands,", Solomon Islands",Solomon Islands,Solomon Islands,,-9.6457,160.1562,686884.0
Somalia,", Somalia",Somalia,Somalia,,5.152149,46.199616,15893222.0
South Africa,", South Africa",South Africa,South Africa,,-30.5595,22.9375,59308690.0
South Sudan,", South Sudan",South Sudan,South Sudan,,6.877,31.307,11193725.0
Spain,", Spain",Spain,Spain,,40.463667,-3.74922,46754778.0
Sri Lanka,", Sri Lanka",Sri Lanka,Sri Lanka,,7.873054,80.771797,21413249.0
Sudan,", Sudan",Sudan,Sudan,,12.8628,30.2176,43849260.0
Summer Olympics 2020,", Summer Olympics 2020",Summer Olympics 2020,Summer Olympics 2020,,35.6491,139.7737,0.0
Suriname,", Suriname",Suriname,Suriname,,3.9193,-56.0278,586632.0
Sweden,", Sweden",Sweden,Sweden,,60.128161,18.643501,10099265.0
Switzerland,", Switzerland",Switzerland,Switzerland,,46.8182,8.2275,8654622.0
Syria,", Syria",Syria,Syria,,34.802075,38.996815,17500658.0
Taiwan,", Taiwan",Taiwan,Taiwan,,23.7,121.0,23816775.0
Tajikistan,", Tajikistan",Tajikistan,Tajikistan,,38.861,71.2761,9537645.0
Tanzania,", Tanzania",Tanzania,Tanzania,,-6.369028,34.888822,59734218.0
Thailand,", Thailand",Thailand,Thailand,,15.870032,100.992541,69799978.0
Timor-Leste,", Timor-Leste",Timor-Leste,Timor-Leste,,-8.874217,125.727539,1318445.0
Togo,", Togo",Togo,Togo,,8.6195,0.8248,8278724.0
Trinidad and Tobago,", Trinidad and Tobago",Trinidad and Tobago,Trinidad and Tobago,,10.6918,-61.2225,1399488.0
Tunisia,", Tunisia",Tunisia,Tunisia,,33.886917,9.537499,11818619.0
