display_key,combined_key,file_name,country,province,latitude,longitude,population
"United Kingdom, Cayman Islands","Cayman Islands, United Kingdom",Cayman Islands,United Kingdom,Cayman Islands,19.3133,-81.2546,65722.0
"United Kingdom, Channel Islands","Channel Islands, United Kingdom",Channel Islands,United Kingdom,Channel Islands,49.3723,-2.3644,173863.0
"United Kingdom, Falkland Islands (Malvinas)","Falkland Islands (Malvinas), United Kingdom",Falkland Islands (Malvinas),United Kingdom,Falkland Islands (Malvinas),-51.7963,-59.5236,3480.0
"United Kingdom, Gibraltar","Gibraltar, United Kingdom",Gibraltar,United Kingdom,Gibraltar,36.1408,-5.3536,33691.0
"United Kingdom, Isle of Man","Isle of Man, United Kingdom",Isle of Man,United Kingdom,Isle of Man,54.2361,-4.5481,85033.0
"United Kingdom, Montserrat","Montserrat, United Kingdom",Montserrat,United Kingdom,Montserrat,16.742498,-62.187366,4992.0
"United Kingdom, Saint Helena Ascension and Tristan da Cunha","Saint Helena Ascension and Tristan da Cunha, United Kingdom",Saint Helena Ascension and Tristan da Cunha,United Kingdom,Saint Helena Ascension and Tristan da Cunha,-7.9467,-14.3559,0.0
"United Kingdom, Turks and Caicos Islands","Turks and Caicos Islands, United Kingdom",Turks and Caicos Islands,United Kingdom,Turks and Caicos Islands,21.694,-71.7979,38717.0
Uruguay,", Uruguay",Uruguay,Uruguay,,-32.5228,-55.7658,3473730.0
Uzbekistan,", Uzbekistan",Uzbekistan,Uzbekistan,,41.377491,64.585262,33469203.0
Vanuatu,", Vanuatu",Vanuatu,Vanuatu,,-15.3767,166.9592,307145.0
Venezuela,", Venezuela",Venezuela,Venezuela,,6.4238,-66.5897,28435940.0
Vietnam,", Vietnam",Vietnam,Vietnam,,14.058324,108.277199,97338579.0
West Bank and Gaza,", West Bank and Gaza",West Bank and Gaza,West Bank and Gaza,,31.9522,35.2332,4817000.0
Yemen,", Yemen",Yemen,Yemen,,15.552727,48.516388,29825964.0
Zambia,", Zambia",Zambia,Zambia,,-13.133897,27.849332,18383955.0
Zimbabwe,", Zimbabwe",Zimbabwe,Zimbabwe,,-19.015438,29.154857,14862924.0
